Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Flag
41,No,Travel_Rarely,Research & Development,8.0,3,Medical,1,Male,3,4,Research Scientist,3,Married,11581,4,Yes,24,3,2,16,5,4,0,0,0,0,0
35,No,Travel_Rarely,Sales,6.0,1,Marketing,4,Female,4,3,Research Director,3,Married,7805,7,No,20,3,2,17,5,3,5,5,5,5,0
42,No,Travel_Rarely,Research & Development,6.0,2,Life Sciences,4,Male,3,3,Healthcare Representative,4,Divorced,9527,1,Yes,11,3,4,21,6,3,2,2,2,2,0
50,No,Travel_Rarely,Research & Development,23.0,3,Medical,1,Male,1,1,Sales Executive,2,Divorced,5971,6,No,25,3,1,29,4,3,2,2,2,2,0
34,No,Travel_Rarely,Research & Development,1.0,1,Medical,3,Female,4,4,Human Resources,2,Married,11762,4,Yes,12,3,4,11,6,3,9,1,3,2,0
34,No,Travel_Rarely,Sales,13.0,3,Life Sciences,1,Male,2,1,Manufacturing Director,2,Married,3442,3,No,23,3,4,13,4,3,10,8,2,8,0
51,No,Travel_Rarely,Sales,1.0,1,Life Sciences,2,Female,2,5,Sales Representative,3,Married,18957,9,No,25,3,3,30,6,1,16,3,3,3,0
43,Yes,Travel_Rarely,Sales,1.0,4,Other,1,Male,1,3,Research Director,2,Married,9601,5,No,12,3,2,24,5,2,6,6,6,5,1
32,No,Travel_Rarely,Sales,5.0,4,Medical,4,Female,4,2,Sales Representative,1,Divorced,6551,4,Yes,22,3,2,8,6,1,6,5,2,3,0
41,Yes,Travel_Rarely,Research & Development,1.0,2,Medical,3,Male,2,5,Manager,3,Married,15978,5,Yes,21,3,2,19,5,4,5,0,5,3,1
32,No,Travel_Rarely,Research & Development,14.0,5,Medical,3,Male,2,1,Sales Representative,2,Single,3564,8,No,25,3,3,13,2,2,7,2,5,1,0
32,Yes,Travel_Rarely,Sales,6.0,5,Life Sciences,4,Male,2,3,Manufacturing Director,2,Married,6278,0,Yes,15,3,3,7,3,2,0,0,0,0,1
39,No,Travel_Rarely,Research & Development,1.0,3,Medical,4,Male,1,3,Laboratory Technician,3,Divorced,8218,0,No,11,3,1,16,5,2,16,8,1,1,0
19,Yes,Non-Travel,Research & Development,1.0,1,Medical,2,Female,3,2,Healthcare Representative,4,Married,4228,5,No,23,4,4,0,0,2,0,0,0,0,1
21,No,Travel_Frequently,Research & Development,8.0,4,Medical,4,Female,2,2,Research Director,2,Single,4443,1,No,22,3,1,0,5,3,0,0,0,0,0
31,No,Non-Travel,Research & Development,14.0,5,Life Sciences,4,Male,2,3,Manager,1,Married,6680,7,No,25,4,1,8,2,4,8,7,6,7,0
27,No,Travel_Rarely,Research & Development,5.0,4,Life Sciences,4,Male,3,3,Healthcare Representative,4,Single,5535,6,No,20,4,3,4,5,2,3,1,3,3,0
39,Yes,Travel_Frequently,Sales,7.0,3,Life Sciences,3,Female,2,1,Sales Executive,3,Married,2000,5,Yes,18,3,2,16,4,2,3,2,2,3,1
28,No,Travel_Rarely,Research & Development,14.0,3,Other,4,Female,4,5,Healthcare Representative,4,Married,16402,3,No,12,3,3,7,4,3,2,2,1,2,0
24,No,Travel_Rarely,Research & Development,8.0,1,Life Sciences,1,Male,2,2,Research Scientist,1,Divorced,4062,8,No,16,3,3,1,6,1,1,1,1,1,0
50,Yes,Travel_Rarely,Research & Development,2.0,5,Medical,1,Male,3,2,Sales Executive,3,Divorced,6088,6,Yes,15,3,3,30,3,1,15,9,2,9,1
34,No,Travel_Frequently,Sales,8.0,3,Life Sciences,3,Male,1,2,Research Scientist,1,Divorced,6967,6,No,12,3,1,11,1,1,11,7,1,2,0
37,No,Non-Travel,Research & Development,8.0,3,Life Sciences,2,Female,1,1,Manufacturing Director,4,Single,2908,4,No,20,3,2,18,2,4,8,3,4,4,0
23,Yes,Travel_Rarely,Sales,11.0,4,Medical,2,Male,4,2,Sales Executive,3,Divorced,6360,0,No,22,4,3,2,1,1,1,1,1,1,1
31,Yes,Travel_Rarely,Sales,8.0,2,Medical,3,Female,2,5,Manufacturing Director,4,Married,18428,1,No,11,3,1,6,4,2,2,2,1,2,1
37,No,Travel_Rarely,Research & Development,29.0,5,Medical,1,Male,2,2,Manufacturing Director,4,Married,3598,7,No,16,3,3,18,6,3,12,3,4,9,0
26,Yes,Non-Travel,Sales,1.0,1,Life Sciences,3,Female,3,2,Manager,1,Married,4690,4,No,24,3,4,1,3,3,0,0,0,0,1
40,Yes,Travel_Frequently,Human Resources,27.0,1,Marketing,4,Male,3,2,Healthcare Representative,2,Single,5540,1,No,16,4,2,19,4,1,18,9,6,5,1
31,No,Travel_Rarely,Sales,6.0,4,Life Sciences,3,Male,4,3,Sales Representative,4,Married,4465,4,No,25,3,1,12,3,3,2,2,2,2,0
34,No,Travel_Rarely,Sales,10.0,1,Life Sciences,2,Male,4,4,Sales Representative,3,Married,9986,7,No,13,3,4,9,5,2,2,0,2,2,0
31,Yes,Travel_Rarely,Research & Development,1.0,3,Medical,1,Female,2,2,Research Scientist,3,Single,6469,3,Yes,23,3,3,13,0,1,7,6,0,7,1
53,No,Travel_Frequently,Research & Development,4.0,5,Life Sciences,2,Male,2,1,Human Resources,2,Divorced,7403,2,Yes,18,3,4,31,1,2,13,9,5,0,0
36,No,Travel_Frequently,Research & Development,13.0,1,Life Sciences,2,Male,4,2,Sales Representative,1,Married,6703,4,No,19,4,4,14,2,4,5,5,1,2,0
27,Yes,Travel_Rarely,Research & Development,11.0,5,Medical,1,Male,1,1,Sales Representative,1,Married,3368,6,No,13,3,1,6,3,2,0,0,0,0,1
44,No,Travel_Rarely,Human Resources,1.0,1,Medical,4,Male,1,2,Sales Executive,3,Married,6554,1,No,19,3,2,26,5,2,16,2,2,4,0
25,Yes,Non-Travel,Research & Development,7.0,2,Marketing,1,Female,1,2,Research Scientist,1,Married,6919,0,Yes,18,3,2,5,5,2,5,5,4,5,1
38,No,Travel_Rarely,Sales,1.0,2,Medical,1,Female,1,2,Research Scientist,4,Married,8677,4,No,15,4,1,20,6,2,3,1,3,3,0
19,No,Non-Travel,Sales,29.0,5,Life Sciences,3,Female,4,3,Manager,4,Single,6295,6,No,16,3,3,0,6,4,0,0,0,0,0
24,No,Travel_Rarely,Sales,20.0,2,Life Sciences,1,Male,3,2,Manufacturing Director,3,Single,2340,7,No,22,3,4,3,0,1,3,3,3,3,0
38,Yes,Travel_Frequently,Human Resources,1.0,2,Other,3,Female,1,5,Manufacturing Director,4,Single,15082,7,No,22,3,2,20,5,2,18,6,5,3,1
43,No,Travel_Frequently,Research & Development,17.0,3,Medical,2,Male,4,5,Laboratory Technician,4,Married,19426,9,No,22,3,2,23,5,1,11,8,0,5,0
38,Yes,Travel_Rarely,Research & Development,22.0,1,Medical,1,Male,1,3,Manager,1,Divorced,8303,8,Yes,11,3,4,17,0,3,1,1,1,1,1
35,Yes,Non-Travel,Research & Development,3.0,2,Life Sciences,4,Male,2,2,Research Director,1,Married,5759,0,No,15,3,3,13,1,2,0,0,0,0,1
34,Yes,Travel_Rarely,Research & Development,11.0,5,Medical,3,Male,1,2,Research Director,1,Single,3231,6,No,20,3,4,11,5,2,9,6,7,7,1
23,No,Travel_Frequently,Research & Development,5.0,3,Life Sciences,3,Female,4,2,Research Director,2,Divorced,3996,9,No,20,3,1,5,3,3,2,2,0,2,0
30,No,Non-Travel,Research & Development,9.0,2,Medical,4,Female,2,3,Healthcare Representative,3,Married,7285,7,No,22,3,1,8,2,1,3,3,2,2,0
32,No,Travel_Rarely,Sales,3.0,5,Technical Degree,3,Female,2,3,Manager,4,Married,8049,5,No,17,3,3,10,2,4,3,1,3,1,0
46,Yes,Travel_Rarely,Research & Development,3.0,1,Other,3,Male,1,4,Healthcare Representative,1,Divorced,12681,9,No,11,3,2,27,2,2,0,0,0,0,1
40,No,Travel_Rarely,Research & Development,4.0,2,Medical,4,Male,1,5,Manufacturing Director,4,Married,16355,3,No,20,3,2,20,4,3,0,0,0,0,0
20,No,Travel_Frequently,Sales,1.0,5,Medical,2,Male,2,2,Manufacturing Director,4,Single,3558,6,No,19,3,3,0,6,3,0,0,0,0,0
39,No,Travel_Frequently,Research & Development,16.0,5,Other,1,Male,3,3,Manufacturing Director,4,Married,9729,2,No,23,3,3,16,4,2,3,3,3,2,0
33,Yes,Travel_Rarely,Research & Development,3.0,4,Medical,1,Male,4,1,Manufacturing Director,4,Single,3993,1,Yes,17,3,1,15,3,1,6,6,6,0,1
30,Yes,Travel_Frequently,Sales,4.0,5,Life Sciences,1,Male,4,2,Manager,1,Married,5874,5,Yes,25,3,1,8,6,1,5,0,4,5,1
42,No,Travel_Rarely,Research & Development,20.0,4,Medical,1,Male,4,2,Manager,4,Married,5021,1,No,14,3,3,20,5,2,14,2,2,3,0
46,No,Travel_Rarely,Sales,6.0,1,Life Sciences,1,Male,4,2,Healthcare Representative,3,Single,2715,5,No,21,3,2,22,5,3,9,4,7,4,0
45,Yes,Travel_Rarely,Research & Development,7.0,1,Medical,1,Female,4,4,Human Resources,2,Married,12372,9,No,14,3,4,25,6,2,16,2,7,7,1
29,Yes,Travel_Rarely,Sales,28.0,3,Medical,3,Female,2,2,Research Director,4,Married,3940,2,No,21,3,4,6,2,4,2,2,2,2,1
34,Yes,Travel_Rarely,Research & Development,19.0,4,Medical,1,Female,4,3,Manager,4,Married,8138,1,Yes,25,4,4,9,0,4,8,3,4,5,1
39,No,Travel_Rarely,Research & Development,1.0,5,Life Sciences,3,Female,3,3,Human Resources,3,Married,12222,7,Yes,20,4,1,16,5,1,11,0,0,2,0
45,No,Travel_Rarely,Research & Development,5.0,3,Life Sciences,4,Male,3,3,Healthcare Representative,4,Married,9514,3,No,17,4,3,21,2,4,19,5,3,7,0
32,No,Travel_Frequently,Sales,29.0,3,Medical,2,Female,1,2,Manufacturing Director,1,Married,8583,3,Yes,16,3,2,10,3,3,4,4,4,2,0
35,No,Travel_Rarely,Research & Development,4.0,1,Marketing,3,Female,1,4,Manager,3,Divorced,12722,6,No,13,4,1,13,2,4,12,6,0,6,0
26,Yes,Travel_Rarely,Research & Development,4.0,5,Medical,2,Male,1,3,Manufacturing Director,1,Married,6564,7,Yes,24,3,3,4,1,2,0,0,0,0,1
26,No,Travel_Rarely,Human Resources,1.0,4,Life Sciences,4,Male,1,2,Research Director,4,Single,5237,8,No,19,3,3,4,2,3,4,4,1,2,0
44,No,Non-Travel,Sales,1.0,1,Other,1,Female,2,1,Sales Representative,2,Married,6156,9,No,25,3,4,19,5,1,14,2,2,2,0
49,No,Travel_Frequently,Research & Development,12.0,3,Technical Degree,2,Male,3,3,Healthcare Representative,2,Married,11595,7,No,16,3,4,30,6,1,12,4,6,9,0
36,No,Travel_Frequently,Sales,13.0,2,Life Sciences,2,Male,2,4,Manager,4,Divorced,11669,3,No,21,4,2,17,5,4,7,6,3,7,0
46,No,Non-Travel,Research & Development,29.0,3,Life Sciences,4,Male,3,3,Sales Representative,2,Married,9063,1,Yes,12,3,2,22,0,1,1,1,1,1,0
40,Yes,Travel_Rarely,Research & Development,13.0,2,Marketing,4,Male,2,4,Sales Executive,2,Divorced,10644,9,No,20,4,4,17,3,2,7,4,3,2,1
31,No,Travel_Rarely,Research & Development,2.0,1,Marketing,4,Male,3,3,Human Resources,4,Married,8789,4,No,25,3,4,10,6,3,9,9,1,1,0
40,No,Travel_Frequently,Sales,1.0,4,Other,3,Male,1,2,Sales Representative,1,Single,7564,6,No,22,4,3,15,6,2,6,1,6,4,0
50,No,Travel_Frequently,Sales,29.0,5,Technical Degree,3,Male,3,1,Research Director,4,Single,4547,1,No,12,3,2,25,6,2,9,5,1,6,0
36,No,Travel_Rarely,Research & Development,3.0,2,Medical,2,Male,1,2,Healthcare Representative,1,Divorced,5139,3,Yes,11,3,3,18,3,2,3,3,3,3,0
51,No,Travel_Frequently,Research & Development,3.0,5,Medical,4,Female,3,3,Research Scientist,1,Single,9912,5,No,21,3,2,31,0,2,10,1,4,0,0
18,No,Travel_Frequently,Research & Development,21.0,1,Life Sciences,2,Male,2,4,Sales Executive,4,Single,11500,7,No,15,3,2,0,3,3,0,0,0,0,0
44,No,Non-Travel,Human Resources,7.0,1,Life Sciences,1,Male,4,2,Sales Executive,2,Married,6597,9,No,20,3,1,25,2,3,8,7,2,6,0
37,Yes,Non-Travel,Human Resources,2.0,1,Medical,4,Male,3,3,Research Scientist,1,Married,8654,5,Yes,16,3,4,18,3,2,3,3,3,3,1
34,No,Travel_Rarely,Research & Development,19.0,4,Medical,3,Female,2,2,Laboratory Technician,1,Divorced,5491,5,No,13,3,1,15,2,2,2,2,0,2,0
37,Yes,Travel_Rarely,Sales,29.0,2,Medical,4,Male,4,2,Laboratory Technician,2,Married,6975,5,No,14,3,2,16,3,1,10,2,6,7,1
18,No,Travel_Rarely,Sales,1.0,5,Marketing,2,Male,2,2,Sales Representative,3,Married,5383,3,Yes,15,3,3,0,5,1,0,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,17.0,3,Life Sciences,3,Female,4,2,Research Director,1,Single,4520,2,No,14,3,2,15,2,3,2,2,0,2,1
